date,industry,unemployment_rate,year,month,post_treatment,tariff_rate,lobbying_index
2010-01-01,Manufacturing,13,2010,1,0,2,9.5
2010-02-01,Manufacturing,12.1,2010,2,0,2,9.5
2010-03-01,Manufacturing,12.6,2010,3,0,2,9.5
2010-04-01,Manufacturing,11.1,2010,4,0,2,9.5
2010-05-01,Manufacturing,10.3,2010,5,0,2,9.5
2010-06-01,Manufacturing,9.9,2010,6,0,2,9.5
2010-07-01,Manufacturing,10,2010,7,0,2,9.5
2010-08-01,Manufacturing,9.5,2010,8,0,2,9.5
2010-09-01,Manufacturing,9.6,2010,9,0,2,9.5
2010-10-01,Manufacturing,9.5,2010,10,0,2,9.5
2010-11-01,Manufacturing,9.9,2010,11,0,2,9.5
2010-12-01,Manufacturing,10,2010,12,0,2,9.5
2011-01-01,Manufacturing,9.9,2011,1,0,2,9.5
2011-02-01,Manufacturing,9.9,2011,2,0,2,9.5
2011-03-01,Manufacturing,9.7,2011,3,0,2,9.5
2011-04-01,Manufacturing,9.4,2011,4,0,2,9.5
2011-05-01,Manufacturing,9.6,2011,5,0,2,9.5
2011-06-01,Manufacturing,9.2,2011,6,0,2,9.5
2011-07-01,Manufacturing,9.2,2011,7,0,2,9.5
2011-08-01,Manufacturing,8.9,2011,8,0,2,9.5
2011-09-01,Manufacturing,8.4,2011,9,0,2,9.5
2011-10-01,Manufacturing,7.7,2011,10,0,2,9.5
2011-11-01,Manufacturing,7.7,2011,11,0,2,9.5
2011-12-01,Manufacturing,7.9,2011,12,0,2,9.5
2012-01-01,Manufacturing,8.4,2012,1,0,2,9.5
2012-02-01,Manufacturing,8.4,2012,2,0,2,9.5
2012-03-01,Manufacturing,7.6,2012,3,0,2,9.5
2012-04-01,Manufacturing,6.9,2012,4,0,2,9.5
2012-05-01,Manufacturing,7.1,2012,5,0,2,9.5
2012-06-01,Manufacturing,6.9,2012,6,0,2,9.5
2012-07-01,Manufacturing,7.2,2012,7,0,2,9.5
2012-08-01,Manufacturing,7.3,2012,8,0,2,9.5
2012-09-01,Manufacturing,6.7,2012,9,0,2,9.5
2012-10-01,Manufacturing,7,2012,10,0,2,9.5
2012-11-01,Manufacturing,6.4,2012,11,0,2,9.5
2012-12-01,Manufacturing,7.5,2012,12,0,2,9.5
2013-01-01,Manufacturing,7.9,2013,1,0,2,9.5
2013-02-01,Manufacturing,7.2,2013,2,0,2,9.5
2013-03-01,Manufacturing,6.4,2013,3,0,2,9.5
2013-04-01,Manufacturing,6.4,2013,4,0,2,9.5
2013-05-01,Manufacturing,6.8,2013,5,0,2,9.5
2013-06-01,Manufacturing,6.4,2013,6,0,2,9.5
2013-07-01,Manufacturing,6.9,2013,7,0,2,9.5
2013-08-01,Manufacturing,6.2,2013,8,0,2,9.5
2013-09-01,Manufacturing,6.9,2013,9,0,2,9.5
2013-10-01,Manufacturing,6.2,2013,10,0,2,9.5
2013-11-01,Manufacturing,6.2,2013,11,0,2,9.5
2013-12-01,Manufacturing,5.5,2013,12,0,2,9.5
2014-01-01,Manufacturing,5.6,2014,1,0,2,9.5
2014-02-01,Manufacturing,5.5,2014,2,0,2,9.5
2014-03-01,Manufacturing,5.4,2014,3,0,2,9.5
2014-04-01,Manufacturing,5.2,2014,4,0,2,9.5
2014-05-01,Manufacturing,5.3,2014,5,0,2,9.5
2014-06-01,Manufacturing,4.4,2014,6,0,2,9.5
2014-07-01,Manufacturing,5.2,2014,7,0,2,9.5
2014-08-01,Manufacturing,5,2014,8,0,2,9.5
2014-09-01,Manufacturing,4.5,2014,9,0,2,9.5
2014-10-01,Manufacturing,4.3,2014,10,0,2,9.5
2014-11-01,Manufacturing,4.2,2014,11,0,2,9.5
2014-12-01,Manufacturing,3.9,2014,12,0,2,9.5
2015-01-01,Manufacturing,5.2,2015,1,0,2,9.5
2015-02-01,Manufacturing,5.2,2015,2,0,2,9.5
2015-03-01,Manufacturing,4.8,2015,3,0,2,9.5
2015-04-01,Manufacturing,4,2015,4,0,2,9.5
2015-05-01,Manufacturing,4.6,2015,5,0,2,9.5
2015-06-01,Manufacturing,3.9,2015,6,0,2,9.5
2015-07-01,Manufacturing,4.3,2015,7,0,2,9.5
2015-08-01,Manufacturing,4,2015,8,0,2,9.5
2015-09-01,Manufacturing,4.1,2015,9,0,2,9.5
2015-10-01,Manufacturing,4,2015,10,0,2,9.5
2015-11-01,Manufacturing,4,2015,11,0,2,9.5
2015-12-01,Manufacturing,4,2015,12,0,2,9.5
2016-01-01,Manufacturing,4.3,2016,1,0,2,9.5
2016-02-01,Manufacturing,4.7,2016,2,0,2,9.5
2016-03-01,Manufacturing,4.3,2016,3,0,2,9.5
2016-04-01,Manufacturing,4.5,2016,4,0,2,9.5
2016-05-01,Manufacturing,4.7,2016,5,0,2,9.5
2016-06-01,Manufacturing,3.7,2016,6,0,2,9.5
2016-07-01,Manufacturing,4.3,2016,7,0,2,9.5
2016-08-01,Manufacturing,4.2,2016,8,0,2,9.5
2016-09-01,Manufacturing,4.2,2016,9,0,2,9.5
2016-10-01,Manufacturing,4.3,2016,10,0,2,9.5
2016-11-01,Manufacturing,3.9,2016,11,0,2,9.5
2016-12-01,Manufacturing,4,2016,12,0,2,9.5
2017-01-01,Manufacturing,4.2,2017,1,0,2,9.5
2017-02-01,Manufacturing,4,2017,2,0,2,9.5
2017-03-01,Manufacturing,3.9,2017,3,0,2,9.5
2017-04-01,Manufacturing,3.9,2017,4,0,2,9.5
2017-05-01,Manufacturing,3.2,2017,5,0,2,9.5
2017-06-01,Manufacturing,3.4,2017,6,0,2,9.5
2017-07-01,Manufacturing,4,2017,7,0,2,9.5
2017-08-01,Manufacturing,3.9,2017,8,0,2,9.5
2017-09-01,Manufacturing,3.8,2017,9,0,2,9.5
2017-10-01,Manufacturing,3.2,2017,10,0,2,9.5
2017-11-01,Manufacturing,2.6,2017,11,0,2,9.5
2017-12-01,Manufacturing,3.3,2017,12,0,2,9.5
2018-01-01,Manufacturing,3.4,2018,1,0,2,9.5
2018-02-01,Manufacturing,3.6,2018,2,0,2,9.5
2018-03-01,Manufacturing,3.3,2018,3,0,2,9.5
2018-04-01,Manufacturing,3.3,2018,4,0,2,9.5
2018-05-01,Manufacturing,3.4,2018,5,0,2,9.5
2018-06-01,Manufacturing,3.1,2018,6,0,2,9.5
2018-07-01,Manufacturing,3.8,2018,7,0,2,9.5
2018-08-01,Manufacturing,3.2,2018,8,0,2,9.5
2018-09-01,Manufacturing,3.5,2018,9,0,2,9.5
2018-10-01,Manufacturing,3.2,2018,10,0,2,9.5
2018-11-01,Manufacturing,2.9,2018,11,0,2,9.5
2018-12-01,Manufacturing,2.8,2018,12,0,2,9.5
2019-01-01,Manufacturing,3.3,2019,1,0,2,9.5
2019-02-01,Manufacturing,2.9,2019,2,0,2,9.5
2019-03-01,Manufacturing,2.9,2019,3,0,2,9.5
2019-04-01,Manufacturing,3,2019,4,0,2,9.5
2019-05-01,Manufacturing,2.3,2019,5,0,2,9.5
2019-06-01,Manufacturing,2.8,2019,6,0,2,9.5
2019-07-01,Manufacturing,3,2019,7,0,2,9.5
2019-08-01,Manufacturing,3.2,2019,8,0,2,9.5
2019-09-01,Manufacturing,3.4,2019,9,0,2,9.5
2019-10-01,Manufacturing,3.1,2019,10,0,2,9.5
2019-11-01,Manufacturing,2.7,2019,11,0,2,9.5
2019-12-01,Manufacturing,2.7,2019,12,0,2,9.5
2020-01-01,Manufacturing,3.4,2020,1,0,2,9.5
2020-02-01,Manufacturing,3.9,2020,2,0,2,9.5
2020-03-01,Manufacturing,4.1,2020,3,0,2,9.5
2020-04-01,Manufacturing,13.2,2020,4,0,2,9.5
2020-05-01,Manufacturing,11.6,2020,5,0,2,9.5
2020-06-01,Manufacturing,9.1,2020,6,0,2,9.5
2020-07-01,Manufacturing,8.6,2020,7,0,2,9.5
2020-08-01,Manufacturing,6.7,2020,8,0,2,9.5
2020-09-01,Manufacturing,6.2,2020,9,0,2,9.5
2020-10-01,Manufacturing,5.2,2020,10,0,2,9.5
2020-11-01,Manufacturing,4.7,2020,11,0,2,9.5
2020-12-01,Manufacturing,4.3,2020,12,0,2,9.5
2021-01-01,Manufacturing,4.7,2021,1,0,2,9.5
2021-02-01,Manufacturing,4.8,2021,2,0,2,9.5
2021-03-01,Manufacturing,5.2,2021,3,0,2,9.5
2021-04-01,Manufacturing,5.8,2021,4,0,2,9.5
2021-05-01,Manufacturing,4.8,2021,5,0,2,9.5
2021-06-01,Manufacturing,5.4,2021,6,0,2,9.5
2021-07-01,Manufacturing,4.2,2021,7,0,2,9.5
2021-08-01,Manufacturing,3.6,2021,8,0,2,9.5
2021-09-01,Manufacturing,3.9,2021,9,0,2,9.5
2021-10-01,Manufacturing,3.3,2021,10,0,2,9.5
